AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,BUILDTYPE,MZZONE,REG_FEE,COMMIS,SALES_PRICE,PARK_FACIL
5,1649,1,1,4,1,0,3,681808,113635,18939100,0
6,1729,2,1,4,4,0,0,396911,128036,12803570,1
5,1942,2,1,5,2,1,3,320599,61654,12330740,0
2,711,1,1,2,1,2,4,249558,64402,8050270,1
2,885,1,1,3,2,1,5,237422,107919,7194600,0
3,1688,2,1,4,0,1,5,547810,285318,11412700,1
0,1236,2,2,4,2,0,0,481414,24071,12035355,0
4,926,1,1,3,2,1,4,288834,68770,6877000,0
3,1686,2,1,4,0,2,5,382817,196582,10346400,0
4,1344,2,2,4,1,0,3,453999,259428,10809500,0
3,1437,2,1,4,2,2,5,489629,102006,10200600,0
4,1430,2,2,4,0,2,0,238887,106172,6635750,1
0,1081,1,1,3,2,1,1,241416,6190,6190150,0
4,1352,2,2,4,3,1,0,240768,123638,6507250,1
3,1986,3,2,5,3,1,5,476717,227008,11350400,0
1,1758,1,1,4,4,0,4,713565,231426,19285540,1
4,607,1,1,2,3,2,4,175699,117133,5856625,0
3,2139,3,2,5,3,2,4,424048,249440,12472000,1
3,1488,2,1,4,4,2,3,405211,202606,8441900,0
6,1645,2,1,4,4,1,3,250118,75793,7579320,0
2,950,1,1,3,3,2,4,273252,146385,9759000,1
2,928,1,1,3,4,0,3,409985,62119,12423800,1
6,1693,2,1,4,3,0,5,604335,108470,15495760,1
6,1873,3,2,5,2,2,4,363735,198401,11022270,1
0,721,1,1,2,4,2,4,273800,60844,7605550,0
4,1190,1,1,3,2,1,3,342613,127484,7967750,1
3,1593,2,1,4,4,2,3,402606,223670,8946800,0
2,786,1,1,2,0,2,4,249610,83203,9244820,1
2,1195,1,1,3,1,2,4,265183,29465,9821600,0
6,1824,3,2,5,3,1,2,273570,76942,8549060,0
3,1906,3,2,5,0,0,3,792637,206086,15852740,1
0,656,1,1,2,0,0,2,280244,113849,8757635,0
2,727,1,1,2,0,2,5,218816,100992,8415990,0
0,931,1,1,3,2,2,5,367617,19871,9935595,1
6,1898,3,2,5,1,0,5,581625,332357,16617860,1
1,1698,1,1,4,2,1,5,359949,198593,12412050,0
5,1926,2,1,5,1,0,5,633655,203675,22630540,1
4,1481,2,2,4,4,0,0,485174,178227,9901500,1
1,1506,1,1,4,2,1,5,417996,177648,10449910,0
2,1020,1,1,3,2,1,5,206664,31794,7948600,0
2,889,1,1,3,0,2,5,300256,136480,9098680,0
2,1015,1,1,3,2,1,3,275314,66743,8342850,1
5,1682,1,1,4,0,0,3,690507,111974,18662350,0
2,869,1,1,3,2,2,5,220661,138935,8172630,0
4,1445,2,2,4,2,1,2,216691,87848,5856500,0
1,1919,2,1,5,4,1,5,544054,117633,14704160,1
0,1243,2,2,4,3,0,1,440895,26721,13360440,1
4,857,1,1,2,3,1,2,236556,59139,4928250,0
4,1055,1,1,3,1,2,2,226769,117042,7315125,1
3,1778,3,2,5,2,2,4,340948,153976,10998320,0
4,851,1,1,2,1,2,0,181073,39364,3936375,0
2,1021,1,1,3,4,2,4,276053,147228,9201770,1
3,2203,3,2,5,0,0,4,572520,339934,17891240,1
4,613,1,1,2,2,0,2,195491,66879,5144500,0
0,738,1,1,2,4,0,2,324194,8313,8312670,0
4,1489,2,2,4,1,1,3,384348,200181,8007250,0
4,795,1,1,2,0,1,5,254378,127189,8479250,1
6,1909,3,2,5,2,2,0,303875,212712,10129160,1
2,1252,2,1,4,2,1,5,265502,47411,9482200,0
4,1077,1,1,3,0,0,5,305249,246169,9846750,0
3,1524,2,1,4,3,2,3,303654,208220,8675820,0
2,1049,1,1,3,4,1,5,328398,133412,10262450,1
6,1780,2,1,4,0,2,1,329500,130066,8671050,0
2,946,1,1,3,1,0,4,368463,111656,11165550,0
2,906,1,1,3,4,1,5,302874,28394,9464800,1
3,2344,4,2,6,0,0,5,622046,471247,18849880,0
0,929,1,1,3,1,2,3,341295,75843,9480425,1
1,1843,2,1,5,1,1,4,318884,147177,12264750,0
1,1918,2,1,5,4,0,4,809377,218751,21875050,1
3,1507,2,1,4,3,0,3,636313,243694,13538580,1
3,1499,2,1,4,2,1,3,372805,186403,8876320,0
3,1526,2,1,4,3,0,3,518512,327481,13645040,1
1,1855,2,1,5,0,0,3,839848,188966,20996200,1
4,1627,2,2,4,3,2,3,308418,99782,9071125,1
6,1846,3,2,5,0,1,5,378554,129790,10815830,0
3,2019,3,2,5,0,2,5,601718,230445,12802500,1
4,1578,2,2,4,3,2,2,295508,238313,9532500,1
6,1780,2,1,4,2,0,1,453788,173507,13346700,1
4,662,1,1,2,4,0,1,143765,65348,4356500,0
2,1005,1,1,3,2,0,4,355456,183857,12257100,0
4,839,1,1,2,4,1,1,192724,49206,4100500,0
1,1698,1,1,4,4,1,5,403460,80692,11527430,0
0,878,1,1,3,4,1,0,225847,6453,6452785,1
2,835,1,1,3,4,1,5,227738,33739,8434750,1
2,911,1,1,3,4,2,3,245118,37139,7427820,1
6,1796,2,1,4,1,1,3,318687,118370,9105350,1
4,1004,1,1,3,1,2,1,193582,75544,4721500,0
1,1694,1,1,4,3,2,4,377250,213775,12575010,0
4,1244,1,1,3,0,2,2,246535,143150,7952750,1
4,588,1,1,2,4,2,4,228220,57055,5705500,0
3,2342,4,2,6,1,1,4,567545,180582,12898740,1
6,1835,3,2,5,3,2,4,418181,182284,10722580,0
1,1977,2,1,5,4,1,4,423089,211544,14102960,1
3,1961,3,2,5,0,0,5,792581,387484,17612900,1
6,1517,2,1,4,3,1,0,257288,85763,7146890,1
3,2409,4,2,6,4,2,4,606442,242577,13476480,1
6,1864,3,2,5,4,0,3,528520,181207,15100560,0
6,1643,2,1,4,2,0,5,577164,249584,15599020,1
0,1015,1,1,3,2,0,1,370412,112246,11224620,1
1,1700,1,1,4,3,2,3,424219,174679,12477040,1
4,624,1,1,2,2,0,1,202228,92321,4396250,0
2,980,1,1,3,3,0,4,380824,130908,11900750,0
4,1003,1,1,3,0,0,3,373330,161440,10090000,1
0,1072,1,1,3,2,1,0,264308,33038,6607690,1
4,808,1,1,2,1,1,1,161577,90293,4752250,0
2,1027,1,1,3,3,1,3,215799,44648,7441350,0
4,696,1,1,2,3,1,4,212561,77295,6441250,0
6,1716,2,1,4,2,1,4,414394,155398,10359860,1
6,1878,3,2,5,2,0,1,573149,257917,14328720,0
3,1699,2,1,4,3,2,4,457764,125885,11444100,1
3,1626,2,1,4,0,1,5,348490,135524,9680280,0
3,1730,2,1,4,3,0,4,589574,235830,14739360,0
2,996,1,1,3,2,2,4,295007,151974,8939620,0
2,1277,2,1,4,1,0,5,518443,47131,15710400,1
2,906,1,1,3,3,0,3,327251,30680,10226600,0
1,1976,2,1,5,4,1,4,369002,110700,12300050,0
6,1776,2,1,4,3,1,3,319653,89903,9989170,1
4,1402,2,2,4,3,1,2,257761,111464,6966500,0
2,1160,1,1,3,1,2,3,255525,104103,9463900,1
6,1957,3,2,5,3,0,2,547180,243191,15199450,1
5,1887,2,1,5,1,0,4,573985,348491,20499450,0
6,1859,3,2,5,3,1,3,297756,138953,9925210,1
2,747,1,1,2,2,0,5,336707,157130,11223550,1
0,985,1,1,3,4,1,1,265662,44277,7379505,1
2,1024,1,1,3,3,0,3,302285,108823,12091400,1
6,1600,2,1,4,2,2,4,315906,94772,10530200,1
2,1276,2,1,4,3,2,4,316936,163270,9604120,0
2,1159,1,1,3,2,1,3,253758,108754,9062800,1
4,1024,1,1,3,0,1,1,166198,94970,4748500,1
0,1249,2,2,4,1,0,0,417195,176992,12642285,0
2,839,1,1,3,3,2,3,255008,72859,9107430,1
2,1286,2,1,4,0,1,5,292906,118993,9153300,0
3,2467,4,2,6,1,1,4,581942,139160,12650920,0
4,653,1,1,2,1,0,5,297775,160340,7635250,0
4,606,1,1,2,2,2,5,353430,117810,7854000,1
5,1837,2,1,5,1,1,4,488298,105578,13197230,1
6,1880,3,2,5,2,0,1,437429,109357,13669670,1
3,2189,3,2,5,1,0,3,547496,456247,18249860,1
6,1853,3,2,5,1,0,1,588293,279439,14707330,1
2,1057,1,1,3,3,2,4,228621,27435,9144840,0
0,723,1,1,2,2,0,5,329098,142609,10969920,0
5,1812,2,1,5,2,2,4,440951,232724,12248640,0
5,1788,1,1,4,1,2,4,426755,156477,14225180,1
6,1615,2,1,4,0,1,2,288694,128308,8019280,0
1,1755,1,1,4,1,1,4,308078,182565,11410310,0
0,1296,2,2,4,2,1,5,338320,49753,9950600,0
3,1554,2,1,4,0,1,4,479055,229547,9980320,1
1,1737,1,1,4,1,1,4,385905,214392,14292780,1
4,785,1,1,2,2,2,2,207104,86293,5752875,1
4,1678,2,2,4,4,0,1,475330,202015,11883250,1
3,2360,4,2,6,3,0,5,693566,495405,19816180,1
3,1464,2,1,4,2,2,3,394575,131525,9394640,1
3,1632,2,1,4,4,2,3,514815,262661,10506420,1
6,1755,2,1,4,0,2,1,332987,61340,8762820,1
6,1556,2,1,4,4,2,4,289791,130873,9348100,0
0,1170,1,1,3,1,1,3,337985,18269,9134740,0
0,901,1,1,3,4,2,2,267514,84076,7643255,0
4,1160,1,1,3,4,0,0,426540,222156,8886250,1
4,1570,2,2,4,2,1,0,243466,128140,6407000,1
4,1476,2,2,4,0,0,4,576800,126896,11536000,0
4,586,1,1,2,2,2,2,255984,85328,5333000,1
4,1059,1,1,3,3,1,4,306121,188382,7849250,1
5,1712,1,1,4,0,1,4,372538,262157,13797720,1
0,847,1,1,3,4,2,3,284707,14985,7492300,0
4,1192,1,1,3,2,1,2,235059,101503,5342250,0
6,1942,3,2,5,4,0,4,583655,324253,16212650,1
4,557,1,1,2,2,2,2,183695,94203,4710125,1
6,1728,2,1,4,3,0,2,461853,283071,14898480,1
6,1798,2,1,4,2,0,5,511811,204725,17060380,1
4,1497,2,2,4,4,1,0,311929,76249,6931750,1
2,1173,1,1,3,3,1,3,262285,24589,8196400,1
1,1640,1,1,4,4,0,3,495731,318684,17704670,1
3,1747,2,1,4,4,2,4,377464,161770,10784680,1
4,1342,2,2,4,0,0,2,287828,211074,9594250,1
5,2000,2,1,5,1,1,5,435100,95178,13596890,0
6,1987,3,2,5,2,2,3,423940,167345,11156320,0
4,1567,2,2,4,2,2,1,247228,193147,7725875,0
4,1188,1,1,3,4,0,5,373141,186571,9819500,0
0,737,1,1,2,2,1,0,123814,54169,3869180,0
4,785,1,1,2,1,2,1,251663,93642,5852625,1
3,2078,3,2,5,0,1,3,475144,106665,9696820,0
0,647,1,1,2,2,0,3,373407,76596,9574550,1
4,1171,1,1,3,1,2,0,256310,134258,6102625,1
3,2435,4,2,6,4,0,5,850347,364434,20246360,1
6,1805,3,2,5,1,0,4,643358,237027,16930470,1
4,1145,1,1,3,3,1,0,264492,82654,5510250,0
4,971,1,1,3,3,1,4,287342,156732,6530500,0
4,1657,2,2,4,0,2,4,507356,223237,10147125,1
6,1638,2,1,4,1,1,3,300883,116471,9705900,1
0,1284,2,2,4,3,0,4,531547,225505,16107475,1
0,1273,2,2,4,0,2,0,231002,96872,7451690,0
2,1185,1,1,3,3,1,4,264238,111793,10163000,1
5,1538,1,1,4,2,0,4,678193,368162,19376950,1
3,1929,3,2,5,3,2,3,447655,81392,10173980,0
3,1656,2,1,4,0,1,5,392764,163652,10910100,1
0,1287,2,2,4,2,0,2,585531,135123,15013625,1
5,1749,1,1,4,0,2,3,374829,152274,11713410,0
1,1585,1,1,4,2,0,4,469335,104297,17382790,0
5,1962,2,1,5,3,2,5,412438,222082,15862990,1
3,1425,2,1,4,3,1,4,303705,69418,8677280,0
4,884,1,1,2,3,0,2,323018,132520,8282500,1
2,1052,1,1,3,3,2,3,261582,103048,7926740,0
5,1756,1,1,4,4,1,4,483743,133029,12093570,0
4,523,1,1,2,0,1,5,295600,118240,7390000,1
6,1524,2,1,4,2,2,5,431078,187906,11053290,1
5,1949,2,1,5,4,2,5,448413,216974,14464930,1
2,1263,2,1,4,1,2,4,276562,127644,10637010,0
3,1917,3,2,5,2,1,4,342425,276149,11045960,1
3,1401,2,1,4,4,1,3,370510,148204,7410200,0
2,723,1,1,2,2,2,5,242084,77813,8645860,0
5,1660,1,1,4,3,0,3,551420,249028,17787740,0
2,895,1,1,3,4,1,3,255443,93662,8514750,1
1,1889,2,1,5,4,1,5,387549,83046,13841050,1
2,1199,1,1,3,1,2,3,229015,27482,9160580,0
4,782,1,1,2,1,0,2,319575,132507,7794500,1
1,1571,1,1,4,4,2,4,388396,64733,12946530,1
3,1848,3,2,5,3,0,4,540032,381199,15883280,1
2,1131,1,1,3,1,2,4,292600,121076,10089670,1
4,1062,1,1,3,1,1,0,170744,112051,5335750,1
3,1983,3,2,5,1,1,5,485075,254664,12126880,1
6,1572,2,1,4,1,1,1,285791,65324,8165450,0
1,1535,1,1,4,2,2,3,298603,206725,11484740,0
5,1818,2,1,5,3,0,5,682767,154173,22024740,1
3,1484,2,1,4,4,2,3,302902,224733,9771020,1
3,2189,3,2,5,1,2,3,470803,253509,12071880,0
2,1203,2,1,4,4,0,4,426543,219734,12925550,0
3,1610,2,1,4,4,0,5,677049,292362,15387480,1
0,863,1,1,3,0,1,0,199110,59733,6637005,1
4,985,1,1,3,4,2,4,238300,59575,7446875,0
4,1623,2,2,4,0,0,3,489657,291463,11658500,0
0,1019,1,1,3,4,1,1,213230,26654,6663435,0
4,1575,2,2,4,2,1,5,455136,227568,9894250,1
2,802,1,1,3,0,2,5,262960,47811,7968490,0
5,1846,2,1,5,3,2,3,446535,173653,12403760,0
2,759,1,1,2,1,2,4,252628,57045,8149280,0
3,2060,3,2,5,0,0,4,704554,352277,16012600,0
3,1503,2,1,4,4,2,5,478205,244663,11121040,1
6,1853,3,2,5,4,1,4,302791,75698,9462230,1
5,1739,1,1,4,1,0,4,675760,286686,20477590,1
4,766,1,1,2,2,0,5,271421,105066,8755500,1
2,857,1,1,3,0,2,4,279562,127074,8471590,1
5,1887,2,1,5,4,1,5,325601,234433,13024030,0
4,1502,2,2,4,3,1,5,361471,147875,8215250,0
6,1568,2,1,4,2,2,0,235388,114513,6361850,0
2,918,1,1,3,4,0,5,327879,32788,10929300,0
0,1289,2,2,4,3,0,3,512208,87807,14634500,0
3,1941,3,2,5,1,2,5,550279,220112,12228420,0
6,1730,2,1,4,0,2,4,409282,157416,10494410,1
6,1513,2,1,4,3,0,0,494026,86454,12350640,1
6,1762,2,1,4,2,1,3,308417,63498,9071080,1
1,1970,2,1,5,4,1,3,361076,112058,12450910,1
6,1702,2,1,4,0,0,2,476800,207836,12225650,0
6,1726,2,1,4,4,1,1,217748,122484,6804640,0
2,1243,2,1,4,2,0,4,433864,108466,15495150,1
6,1550,2,1,4,4,0,0,435984,236677,12456680,1
3,1830,3,2,5,1,0,3,636179,342558,16312280,1
4,1435,2,2,4,0,1,5,341364,195065,9753250,1
6,1729,2,1,4,4,2,3,350782,116927,10629750,1
5,1572,1,1,4,1,0,5,807919,207159,20715860,1
2,1145,1,1,3,1,0,3,386024,185864,14297200,1
2,1043,1,1,3,0,2,3,224570,66539,8317410,1
4,1332,1,1,3,3,2,5,346983,140446,8261500,0
4,608,1,1,2,2,0,2,229631,99300,6206250,1
0,676,1,1,2,4,0,2,319218,16801,8400465,1
6,1685,2,1,4,1,2,3,355338,177669,11104320,1
0,658,1,1,2,1,2,1,237272,36503,6083885,0
2,1008,1,1,3,1,2,4,247412,106034,8836160,0
1,1924,2,1,5,2,2,5,463081,95340,13620040,0
3,2112,3,2,5,1,0,3,804310,351886,16756460,0
2,917,1,1,3,3,0,3,321029,95120,11889950,1
4,1353,2,2,4,0,2,4,291512,77165,8573875,1
1,1694,1,1,4,0,2,4,548144,154605,14054970,1
1,1625,1,1,4,1,0,3,696012,128213,18316110,1
1,1882,2,1,5,3,2,4,590474,221428,14761860,1
5,1924,2,1,5,3,0,5,575205,287602,22123260,1
2,894,1,1,3,0,0,5,337354,97942,10882400,0
4,904,1,1,3,3,2,4,260794,89219,6863000,1
0,1279,2,2,4,1,1,3,362338,137101,9792910,0
6,1547,2,1,4,0,2,5,343080,201812,10090590,0
4,626,1,1,2,2,1,3,248565,45655,5072750,0
5,1673,1,1,4,4,2,5,389002,194501,12156320,0
2,1296,2,1,4,4,2,3,354454,85928,10741020,1
3,2194,3,2,5,4,0,3,722637,201666,16805520,0
3,1678,2,1,4,4,0,4,475514,271722,13586120,0
2,702,1,1,2,1,1,5,216575,136362,8021300,1
0,1067,1,1,3,4,1,3,270654,63683,7960405,1
2,980,1,1,3,2,0,3,308031,189558,11847350,1
3,1989,3,2,5,1,1,5,407510,191770,11985600,1
2,1257,2,1,4,3,0,4,413654,110308,13788450,0
2,1069,1,1,3,3,2,3,302408,110883,10080280,1
4,606,1,1,2,0,0,4,262590,85342,6564750,0
4,1449,2,2,4,4,1,4,354460,203815,8861500,1
4,1154,1,1,3,2,1,5,236400,70920,7880000,0
0,927,1,1,3,2,0,5,469267,63414,12682895,0
4,1613,2,2,4,2,2,4,335598,183053,10169625,1
6,1851,3,2,5,1,1,5,442487,95673,11959100,1
6,1511,2,1,4,2,0,1,405284,166270,10391900,0
3,1765,2,1,4,0,2,3,345539,177439,9338880,0
4,1238,1,1,3,3,0,5,430531,283244,11329750,1
2,934,1,1,3,2,1,3,211726,118567,8469050,1
2,754,1,1,2,2,1,4,238880,107881,7705800,1
5,1736,1,1,4,4,2,4,365487,182743,14057180,1
2,980,1,1,3,0,1,3,284510,43108,8621500,1
4,1299,1,1,3,1,0,2,336186,177432,9338500,0
4,849,1,1,2,3,2,3,204080,90702,5668875,0
3,1450,2,1,4,1,2,3,431738,251011,10040420,1
5,1634,1,1,4,4,1,5,432829,190954,12730270,1
4,1320,1,1,3,1,0,2,332145,177144,11071500,1
2,769,1,1,2,1,1,3,203326,36308,7261650,1
4,1150,1,1,3,4,1,2,223424,69820,6982000,1
2,908,1,1,3,3,2,3,188674,37735,7546960,0
4,1668,2,2,4,0,0,3,423166,218408,13650500,1
3,1990,3,2,5,1,1,3,351520,117173,10652120,0
1,1857,2,1,5,3,2,3,454873,66893,13378610,0
3,2061,3,2,5,4,0,4,725167,397115,17265880,1
3,1668,2,1,4,0,1,4,492186,231026,10044620,0
3,1444,2,1,4,3,1,4,347841,173921,9153720,0
2,1121,1,1,3,4,2,3,245417,54537,9089520,1
3,1514,2,1,4,3,1,3,326724,154286,9075660,1
2,1256,2,1,4,0,1,4,318650,139409,9957800,1
4,672,1,1,2,0,2,3,232210,127716,5805250,1
0,908,1,1,3,2,0,4,405702,157046,13087155,1
4,1631,2,2,4,3,1,4,428444,149024,9314000,1
0,1001,1,1,3,3,2,4,410816,126405,10533755,1
6,1618,2,1,4,3,0,0,458492,91698,11462310,0
3,2340,4,2,6,1,2,3,569721,284860,12948200,1
4,1159,1,1,3,1,2,3,295182,67646,6149625,0
6,1775,2,1,4,0,2,3,430232,165474,11031600,1
2,1008,1,1,3,4,0,5,317826,152557,12713050,0
6,1563,2,1,4,3,0,5,563931,156647,15664740,1
3,1723,2,1,4,3,1,4,518214,247841,11265520,1
6,1543,2,1,4,3,0,5,425726,206413,12900790,0
2,1231,2,1,4,1,2,4,287600,143800,10271420,0
5,1995,2,1,5,2,2,4,396336,113239,14154840,0
3,2113,3,2,5,1,2,5,535058,304011,12160420,0
5,1849,2,1,5,4,0,5,817115,375431,22084180,1
2,1095,1,1,3,1,2,3,308554,139347,9953350,1
4,1057,1,1,3,1,0,3,307598,175770,8788500,0
4,841,1,1,2,4,1,2,194254,100260,6266250,1
0,693,1,1,2,1,1,1,268301,75675,6879510,1
1,1666,1,1,4,4,1,4,383721,71948,11991280,0
5,1517,1,1,4,1,0,5,653989,217996,19817860,1
1,1854,2,1,5,2,0,3,553458,237196,19766360,0
0,789,1,1,2,0,0,0,315825,113373,8098070,0
2,760,1,1,2,0,1,4,223398,41370,8274000,1
2,1137,1,1,3,2,2,3,276289,53475,8912540,0
1,1687,1,1,4,2,0,3,725563,196098,19609810,1
4,984,1,1,3,2,1,1,192267,48067,5340750,1
